Edicion,S_1,O_88,O_89,O_12,O_13,O_22,O_67,O_68,O_8,O_19_1,O_19_2,O_19_3,O_19_4,O_19_5,O_19_6,O_19_7,O_19_8,O_19_9,O_20_1,O_20_2,O_20_3,O_20_4,O_20_5,O_20_6,O_20_7,O_20_8,O_72_1,O_72_2,O_72_3,O_72_4,O_72_5,O_72_6,O_72_7,O_72_8,O_72_9,O_24,O_48,O_52,O_54,O_58,O_59,O_90,O_28_1,O_28_2,O_28_3,O_28_4,O_28_5,O_28_6,O_28_7,O_28_8,O_37_1,O_37_2,O_37_3,O_37_4,O_37_5,O_38_1,O_38_2,O_38_3,O_38_4,O_38_5,O_38_6,O_38_7,O_38_8,O_38_9,O_66_1,O_66_2,O_66_3,O_66_4,O_66_5,O_66_6,O_66_7,O_81_1,O_81_2,O_81_3,O_81_4,O_81_5,O_81_6,O_81_7,O_82_1,O_82_2,O_82_3,O_82_4,O_82_5,O_82_6,O_82_7,O_40,O_41,O_45,O_49,O_55,O_61_1,O_61_2,O_61_3,O_61_4,O_61_5,O_62_1,O_62_2,O_62_3,O_62_4,O_62_5,O_62_6,O_70,O_71,Condiciones Territoriales,Prácticas,Efectos,IPCM
2019,1,Mujer,No,Si,Si,80,No consulta,No consulta,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,0,No,0,No,Nunca,Nunca,1,No,No,No,No,No,No,No,Si,No,No,No,No,Si,No,No,No,Si,Si,No,No,No,No,No,No,No,No,No,No,No,Autoritario,Manipulador,Excluyente,Dictatorial,Pasivo,Apático,Autosuficiente,Autoritario,Manipulador,Excluyente,Dictatorial,Pasivo,Apático,Autosuficiente,"Si, medio",Positiva,Permanecen igual,0,0,Neutral,Neutral,Neutral,Neutral,Neutral,Equitativo,Equitativo,Equitativo,Equitativo,Equitativo,Equitativo,No consulta,No consulta,0.723895878348795,0.80354026372876,0.725396649874249,0.75
2019,1,Mujer,Si,Si,Si,50,Siempre,Siempre,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,Si,Si,No,No,5,Si,5,Si,Siempre,Siempre,2,No,No,No,No,No,No,Si,Si,No,Si,No,No,Si,No,Si,Si,No,Si,No,Si,Si,No,No,No,Si,Si,No,Si,Si,Muy democrático,Condescendiente,Muy inclusivo,Muy consultivo,Muy proactivo,Muy cooperativo,Muy delegativo,Muy democrático,Condescendiente,Muy inclusivo,Muy consultivo,Muy proactivo,Cooperativo,Delegativo,"Si, bajo",Positiva,Mejorado,150,50,Inequitativo,Inequitativo,Inequitativo,Inequitativo,Inequitativo,Inequitativo,Inequitativo,Inequitativo,Inequitativo,Inequitativo,Inequitativo,De utilidad para el trabajo en la comuna,De utilidad para el trabajo en la comuna,0.562442971737225,0.410185463500567,0.561744897893435,0.51
2019,1,Mujer,No,Si,Si,700,No consulta,No consulta,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,0,Si,0,No,Nunca,Nunca,1,No,No,No,No,No,No,No,Si,No,Si,No,No,Si,No,No,No,Si,Si,No,No,No,No,No,No,Si,No,Si,No,No,Autoritario,Manipulador,Excluyente,Dictatorial,Pasivo,Apático,Autosuficiente,Autoritario,Manipulador,Excluyente,Dictatorial,Pasivo,Apático,Autosuficiente,"Si, alto",Positiva,Mejorado,410,0,Neutral,Neutral,Neutral,Neutral,Neutral,Equitativo,Equitativo,Equitativo,Equitativo,Equitativo,Equitativo,No consulta,No consulta,0.707304887893798,0.76805669304947,0.665326272433945,0.71
2019,1,Hombre,Si,Si,Si,200,Muy pocas veces,Muy pocas veces,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,5,No,5,No,Muy pocas veces,Muy pocas veces,3,No,No,No,No,No,No,No,Si,No,Si,No,No,Si,No,No,No,Si,Si,No,No,No,No,No,No,No,Si,No,No,No,Democráctico,Condescendiente,Inclusivo,Consultivo,Muy proactivo,Muy cooperativo,Delegativo,Democráctico,Condescendiente,Muy inclusivo,Muy consultivo,Muy proactivo,Muy cooperativo,Autosuficiente,"Si, medio",Positiva,Permanecen igual,0,0,Inequitativo,Inequitativo,Inequitativo,Inequitativo,Inequitativo,Inequitativo,Inequitativo,Inequitativo,Inequitativo,Inequitativo,Inequitativo,De fácil acceso,Clara y comprensible,0.687808255077438,0.621048161545141,0.682467884775476,0.66
2019,1,Hombre,No,Si,Si,100,No consulta,No consulta,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,0,No,0,No,Casi siempre,Nunca,1,No,No,No,No,No,No,No,Si,No,No,No,No,Si,No,No,No,Si,Si,No,No,No,No,No,No,No,No,No,No,No,Autoritario,Manipulador,Excluyente,Dictatorial,Pasivo,Apático,Autosuficiente,Autoritario,Manipulador,Excluyente,Dictatorial,Pasivo,Apático,Autosuficiente,"Si, medio",Positiva,Permanecen igual,0,0,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No consulta,No consulta,0.736281988310285,0.74118610191559,0.720852128598259,0.73
2019,1,Mujer,No,Si,Si,80,No consulta,No consulta,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,0,No,0,No,Nunca,Nunca,1,No,No,No,No,No,No,No,Si,No,No,No,No,Si,No,No,No,Si,Si,No,No,No,No,No,No,No,No,No,No,No,Autoritario,Manipulador,Excluyente,Dictatorial,Pasivo,Apático,Autosuficiente,Autoritario,Manipulador,Excluyente,Dictatorial,Pasivo,Apático,Autosuficiente,"Si, medio",Positiva,Permanecen igual,0,0,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No consulta,No consulta,0.769475944136832,0.80354026372876,0.720852128598259,0.76
2019,1,Mujer,Si,Si,Si,0,No consulta,No consulta,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,2,No,0,No,Nunca,Nunca,1,No,No,No,No,No,No,No,Si,No,Si,No,No,No,No,No,No,No,Si,No,Si,No,No,No,No,No,No,No,No,No,Autoritario,Manipulador,Excluyente,Dictatorial,Pasivo,Apático,Autosuficiente,Muy democrático,Condescendiente,Muy inclusivo,Muy consultivo,Muy proactivo,Muy cooperativo,Muy delegativo,"Si, alto",Positiva,Empeorado,0,0,Equitativo,Neutral,Neutral,Neutral,Neutral,Equitativo,Neutral,Neutral,Neutral,Neutral,Neutral,No consulta,No consulta,0.798851648835007,0.792440532355138,0.724676071511542,0.77
2019,1,Mujer,Si,Si,Si,60,No consulta,No consulta,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,3,Si,5,No,Casi siempre,Nunca,6,No,No,No,Si,No,No,No,Si,No,Si,No,No,Si,No,No,No,Si,Si,No,Si,No,No,No,No,No,No,No,No,No,Autoritario,Manipulador,Excluyente,Dictatorial,Pasivo,Apático,Delegativo,Muy democrático,Condescendiente,Inclusivo,Consultivo,Muy proactivo,Muy cooperativo,Autosuficiente,"Si, alto",Positiva,Permanecen igual,30,0,Inequitativo,Inequitativo,Totalmente inequitativo,Inequitativo,Neutral,Equitativo,Inequitativo,Inequitativo,Equitativo,Equitativo,Equitativo,No consulta,Clara y comprensible,0.739157380777722,0.52193248591548,0.622354131329348,0.62
2019,1,Mujer,Si,Si,Si,38,Nunca,Nunca,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,Si,No,Si,No,No,5,Si,21,Si,Casi siempre,Algunas veces,10,No,No,No,No,No,No,No,Si,No,Si,No,Si,Si,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,Democráctico,Condescendiente,Inclusivo,Consultivo,Muy proactivo,Cooperativo,Muy autosuficiente,Democráctico,Condescendiente,Muy inclusivo,Consultivo,Proactivo,Muy cooperativo,Muy delegativo,"Si, alto",Positiva,Mejorado,15,20,Equitativo,Equitativo,Equitativo,Inequitativo,Equitativo,Equitativo,Equitativo,Equitativo,Equitativo,Equitativo,Equitativo,Clara y comprensible,De fácil acceso,0.606556049840551,0.52397990593829,0.661450276224164,0.59
2019,1,Hombre,No,No,Si,10,Algunas veces,Algunas veces,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,0,Si,0,No,Nunca,Nunca,1,No,No,No,No,No,No,No,Si,No,Si,No,No,No,No,No,No,Si,Si,No,No,No,No,Si,No,No,No,No,No,No,Autoritario,Manipulador,Excluyente,Dictatorial,Pasivo,Apático,Autosuficiente,Democráctico,Condescendiente,Inclusivo,Consultivo,Muy proactivo,Cooperativo,Delegativo,"Si, alto",Positiva,Permanecen igual,25,0,Neutral,Neutral,Neutral,Neutral,Neutral,Equitativo,Equitativo,Equitativo,Equitativo,Equitativo,Equitativo,De utilidad para el trabajo en la comuna,De utilidad para el trabajo en la comuna,0.727572349177081,0.783667211618014,0.643991402727974,0.72
