,,,Condiciones,,,Prácticas, ,,Efectos,,,,
,,,SubInd1,SubInd2,,SubInd1,SubInd2,,SubInd1,SubInd2,,,
,,,Promedio,Promedio,,Promedio,Promedio,,Promedio,Promedio,,,
,,,"-3,29472660185523E-17","2,83546168159662E-17",,"-1,10822622062403E-17","-5,79073160326071E-17",,"4,91213784276598E-17","3,19488640179901E-17",,,
,,,SD,SD,,SD,SD,,SD,SD,,,
,,,1,1,,"0,999999999999999","0,999999999999999",,1,1,,,
,,,min,min,,min,min,,min,min,,,
,,,"-2,96175376678723","-7,36468087819751",,"-2,9999521456258","-3,8580997783358",,"-2,54030515366329","-2,89384400389749",,,
,,,max,max,,max,max,,max,max,,,
,,,"1,67785604917023","3,14002904196125",,"1,87421491801455","2,00930614700186",,"1,18194673351635","2,393878343843",,,
Orden,Comuna,Zona,SubInd1,SubInd2,Global C,SubInd1,SubInd2,Global P,SubInd1,SubInd2,Global E,Indice de Participación 3,Indice de Participación 5
27,San Antonio,Corregimientos Occidentales,"0,380111724355242","0,619399855585283","0,499755789970262","0,044471262065188","0,923524056539794","0,483997659302491","0,601560257403984","0,486338192532936","0,54394922496846","0,51","0,35"
28,San Antonio,Corregimientos Occidentales,"0,8685039880376","0,686869547771277","0,777686767904438","0,844422115125887","0,491468366490379","0,667945240808133","0,907375387037859","0,773820895676123","0,840598141356991","0,76","0,73"
29,San Antonio,Corregimientos Occidentales,"0,692265539546537","0,688819946542466","0,690542743044502","0,204408326340955","0,451870629300948","0,328139477820951","0,803811870592385","0,348735060277705","0,576273465435045","0,51","0,48"
30,San Antonio,Corregimientos Occidentales,"0,849175624014623","0,652677098817665","0,750926361416144","0,929904957098827","0,662187889883241","0,796046423491034","0,608199754092291","0,833779249650176","0,720989501871234","0,76","0,76"
31,San Antonio,Corregimientos Occidentales,"0,851672255739092","0,699395178082416","0,775533716910754","0,955600102367991","0,6381973278447","0,796898715106346","0,759284294532971","0,681554984595904","0,720419639564438","0,76","0,76"
32,San Antonio,Corregimientos Occidentales,"0,414510211504326","0,701768495317891","0,558139353411109","0,50185472321829","0,475451805049051","0,48865326413367","0,73131224764539","0,671478911124871","0,701395579385131","0,58","0,55"
33,San Antonio,Corregimientos Occidentales,"0,855997999374607","0,701405170311308","0,778701584842958","0,955600102367991","0,6381973278447","0,796898715106346","0,644620793997276","0,797083463199242","0,720852128598259","0,76","0,77"
34,San Antonio,Corregimientos Occidentales,"0,844868749082253","0,645860859907744","0,745364804494998","0,587811037767409","0,804898175868317","0,696354606817863","0,731759308565625","0,751812863554785","0,741786086060205","0,73","0,72"
35,San Antonio,Corregimientos Occidentales,"0,959398318511967","0,755544312738666","0,857471315625317","0,607063485317738","0,340672739093453","0,473868112205596","0,915717120298411","0,612162577436285","0,763939848867348","0,68","0,65"
36,La Candelaria,Centro oriental,"0,438594374607349","0,640569369095676","0,539581871851512","0,064977305759187","0,92792312989053","0,496450217824858","0,097673615365132","0,211849691755748","0,15476165356044","0,35","0,30"
37,San Antonio,Corregimientos Occidentales,"0,688217423851818","0,680095206761566","0,684156315306692","0,27432267402431","0,729935147310411","0,502128910667361","0,541126008837554","0,06699122885877","0,304058618848162","0,47","0,49"
38,San Antonio,Corregimientos Occidentales,"0,833970891217563","0,639561010119827","0,736765950668695","0,750690393723204","0,57614958074008","0,663419987231642","0,925900621032418","0,528339922670725","0,727120271851572","0,71","0,70"
39,San Antonio,Corregimientos Occidentales,"0,832679769637598","0,6257513516687","0,729215560653149","0,897167084022153","0,669085303810475","0,783126193916314","0,644620793997276","0,797083463199242","0,720852128598259","0,74","0,74"
40,San Antonio,Corregimientos Occidentales,"0,858865995047246","0,712493272554901","0,785679633801073","0,947923116688354","0,649395901095887","0,798659508892121","0,644620793997276","0,797083463199242","0,720852128598259","0,77","0,77"
41,San Antonio,Corregimientos Occidentales,"0,776273803833471","0,679054922453015","0,727664363143243","0,77861534589759","0,726194926471001","0,752405136184295","0,854827869515378","0,589496699654209","0,722162284584793","0,73","0,74"
42,Buenos Aires,Centro oriental,"0,506280878745884","0,579394048995499","0,542837463870691","0,64322458092875","0,662106350931583","0,652665465930167","0,644620793997276","0,797083463199242","0,720852128598259","0,63","0,62"
43,Buenos Aires,Centro oriental,"0,869082410890648","0,725304081375465","0,797193246133057","0,815307102977143","0,679627368618514","0,747467235797829","0,650257860915741","0,741190003714488","0,695723932315114","0,75","0,75"
44,Buenos Aires,Centro oriental,"0,446631338454454","0,659554843820009","0,553093091137231","0,485713318129558","0,305935615850864","0,395824466990211","0,763867790765594","0,486492608747991","0,625180199756792","0,52","0,49"
45,Buenos Aires,Centro oriental,"0,567649285416177","0,708073514653839","0,637861400035008","0,512287050256584","0,529839258219337","0,52106315423796","0,695987450641398","0,502748358448904","0,599367904545151","0,58","0,58"
46,Buenos Aires,Centro oriental,"0,849118346195296","0,679299393216903","0,7642088697061","0,87948331370352","0,697625296566979","0,788554305135249","0,6693601027163","0,619487680807292","0,644423891761796","0,73","0,74"
47,La Candelaria,Centro oriental,"0,446151548398314","0,677737742552651","0,561944645475483","0,404704589387729","0,748164723549796","0,576434656468763","0,77915814453789","0,588979714057066","0,684068929297478","0,61","0,57"
48,Buenos Aires,Centro oriental,"0,52412910987605","0,643582214677792","0,583855662276921","0,649231105509274","0,168089327761893","0,408660216635583","0,774280039739184","0,390111823113532","0,582195931426358","0,52","0,46"
49,Buenos Aires,Centro oriental,"0,163427775327319","0,747445370229987","0,455436572778653","0,387431007339412","0,995067372770035","0,691249190054724","0,958172136256692","0,437468971630993","0,697820553943843","0,60","0,51"
50,Buenos Aires,Centro oriental,"0,949067846506904","0,729474942527215","0,83927139451706","0,909739421855829","0,683657640143683","0,796698530999756","0,73131224764539","0,671478911124871","0,701395579385131","0,78","0,79"
51,Buenos Aires,Centro oriental,"0,440479897813086","0,615804185067535","0,52814204144031","0,203708437841447","0,85259402683862","0,528151232340034","0,626545006635317","0,560589388142223","0,59356719738877","0,55","0,49"
52,Buenos Aires,Centro oriental,"0,424376560487981","0,728959630832949","0,576668095660465","0,363634791240271","0,187161379339902","0,275398085290086","0,061806660389306","0,393380656503376","0,227593658446341","0,33","0,34"
53,Buenos Aires,Centro oriental,"0,470069118036667","0,700388628828174","0,585228873432421","0,814561027335515","0,70050315801055","0,757532092673033","0,605556831123578","0,834068741024216","0,719812786073897","0,68","0,67"
54,Buenos Aires,Centro oriental,"0,725312955236816","0,711358985243891","0,718335970240354","0,275063312945262","0,157971590156563","0,216517451550912","0,374079497610251","0,371292257031688","0,372685877320969","0,39","0,38"
55,Buenos Aires,Centro oriental,"0,838457426040582","0,679180904720774","0,758819165380678","0,668923492800791","0,287554507538413","0,478239000169602","0,750485349351634","0,480828493344516","0,615656921348075","0,61","0,58"
